study,treatment,diff,std.err
Alex1998,Metformin,-0.37,0.1184
Alex1998,Sulfonylurea,NA,NA
Baksi2004,Rosiglitazone,-1.3,0.1014
Baksi2004,Placebo,NA,NA
Costa1997,Acarbose,-0.8,0.1432
Costa1997,Placebo,NA,NA
Davidson2007,Rosiglitazone,-1.34,0.1435
Davidson2007,Placebo,NA,NA
DeFronzo1995,Metformin,-1.9,0.1414
DeFronzo1995,Placebo,NA,NA
Derosa2004,Pioglitazone,0.1,0.1831
Derosa2004,Rosiglitazone,NA,NA
Garber2008,Vildagliptin,-0.7,0.1273
Garber2008,Placebo,NA,NA
Gonzalez-Ortiz2004,Metformin,-0.4,0.4356
Gonzalez-Ortiz2004,Placebo,NA,NA
Hanefeld2004,Pioglitazone,0.16,0.0849
Hanefeld2004,Metformin,NA,NA
Hermansen2007,Sitagliptin,-0.57,0.1291
Hermansen2007,Placebo,NA,NA
Johnston1994,Miglitol,-0.74,0.1839
Johnston1994,Placebo,NA,NA
Johnston1998a,Miglitol,-1.41,0.2235
Johnston1998a,Placebo,NA,NA
Johnston1998b,Miglitol,-0.68,0.2828
Johnston1998b,Placebo,NA,NA
Kerenyi2004,Rosiglitazone,-0.77,0.1078
Kerenyi2004,Placebo,NA,NA
Kim2007,Rosiglitazone,0,0.2339
Kim2007,Metformin,NA,NA
Kipnes2001,Pioglitazone,-1.3,0.1268
Kipnes2001,Placebo,NA,NA
Lewin2007,Metformin,-0.82,0.0992
Lewin2007,Placebo,NA,NA
Moulin2006,Benfluorex,-1.01,0.1366
Moulin2006,Placebo,NA,NA
Oyama2008,Acarbose,-0.4,0.1549
Oyama2008,Sulfonylurea,NA,NA
Rosenstock2008,Rosiglitazone,-1.09,0.2263
Rosenstock2008,Placebo,NA,NA
Stucci1996,Benfluorex,-0.23,0.3467
Stucci1996,Placebo,NA,NA
Vongthavaravat2002,Rosiglitazone,-1.2,0.1436
Vongthavaravat2002,Sulfonylurea,NA,NA
Willms1999,Metformin,-1.2,0.3758
Willms1999,Acarbose,-1,0.4669
Willms1999,Placebo,NA,0.4002
Wolffenbuttel1999,Rosiglitazone,-1.1,0.1141
Wolffenbuttel1999,Placebo,NA,NA
Yang2003,Rosiglitazone,-0.14,0.2239
Yang2003,Metformin,NA,NA
Zhu2003,Rosiglitazone,-1.5,0.1624
Zhu2003,Placebo,NA,NA